start,type,end,properties
docctl:557eec67bd62ef6f,DOCUMENT_CONTROL_FOR,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
docctl:471b6d688acf6130,DOCUMENT_CONTROL_FOR,source:Hackathon/2. Company policies/Regodit_access_control_policy_v1.0.docx,{}
docctl:e9ebf147473abb72,DOCUMENT_CONTROL_FOR,source:Hackathon/2. Company policies/Regodit_asset_management_policy_v1.0.docx,{}
docctl:70c66ccbf5815ae5,DOCUMENT_CONTROL_FOR,source:Hackathon/2. Company policies/Regodit_business_continuity_and_disaster_recovery_policy_v1.0.docx,{}
docctl:427fb66f7ecceb1f,DOCUMENT_CONTROL_FOR,source:Hackathon/2. Company policies/Regodit_code_of_conduct_policy_v1.0.docx,{}
action:66e585b58383f45b,MAPS_TO,control:governance,{}
docctl:427fb66f7ecceb1f,REQUIRES,action:66e585b58383f45b,{}
docctl:3dd745a963863d7d,DOCUMENT_CONTROL_FOR,source:Hackathon/2. Company policies/Regodit_cryptography_policy_v1.0.docx,{}
docctl:9d6f779d513f97b0,DOCUMENT_CONTROL_FOR,source:Hackathon/2. Company policies/Regodit_data_classification_policy_v1.0.docx,{}
docctl:87d2370f3a31f082,DOCUMENT_CONTROL_FOR,source:Hackathon/2. Company policies/Regodit_hr_policy_v1.0.docx,{}
action:152d5e0f02c89ff2,MAPS_TO,control:governance,{}
docctl:87d2370f3a31f082,REQUIRES,action:152d5e0f02c89ff2,{}
docctl:8d9966d283c5c44b,DOCUMENT_CONTROL_FOR,source:Hackathon/2. Company policies/Regodit_Incident_Management_Policy_v1.0.docx,{}
action:7473c579f099391d,MAPS_TO,control:governance,{}
docctl:8d9966d283c5c44b,REQUIRES,action:7473c579f099391d,{}
docctl:c070b3c493c98828,DOCUMENT_CONTROL_FOR,source:Hackathon/2. Company policies/Regodit_information_security_policy_v1.0.docx,{}
docctl:98c607eef0ee4e52,DOCUMENT_CONTROL_FOR,source:Hackathon/2. Company policies/Regodit_password_and_secrets_policy_v1.0.docx,{}
docctl:7607d58c62e36f74,DOCUMENT_CONTROL_FOR,source:Hackathon/2. Company policies/Regodit_Vendor_Risk_Management_Policy.docx,{}
action:6a47977127864bed,MAPS_TO,control:governance,{}
docctl:7607d58c62e36f74,REQUIRES,action:6a47977127864bed,{}
docctl:b3b3156b81d15331,DOCUMENT_CONTROL_FOR,source:Hackathon/2. Company policies/Regodit_vulnerability_and_patch_management_policy_v1.0.docx,{}
docctl:ecfc9512f7525938,DOCUMENT_CONTROL_FOR,source:Hackathon/2. Company policies/Regodit._risk_management_policy_v1.0.docx,{}
action:794686bc1c3a3743,MAPS_TO,control:governance,{}
docctl:ecfc9512f7525938,REQUIRES,action:794686bc1c3a3743,{}
docctl:b4ccb38486cb13f2,DOCUMENT_CONTROL_FOR,source:Hackathon/3. Security Assessment Reports/Regodit AI_SOC2_Type_II_Report_Test.docx,{}
docctl:1855b578c9a2d5d8,DOCUMENT_CONTROL_FOR,source:Hackathon/3. Security Assessment Reports/VAPT Report 01.docx,{}
docctl:3d4558c55e608493,DOCUMENT_CONTROL_FOR,source:Hackathon/4. Contracts_agreements/Employment Contract 01.docx,{}
docctl:10a352056a8fe9ba,DOCUMENT_CONTROL_FOR,source:Hackathon/4. Contracts_agreements/Master Services Agreement.docx,{}
docctl:95aafd6b28eb5409,DOCUMENT_CONTROL_FOR,source:Hackathon/5. Infrastructure_internal info/Access_Review_Records.xlsx,{}
action:8086e29ab5f1607d,MAPS_TO,control:governance,{}
docctl:95aafd6b28eb5409,REQUIRES,action:8086e29ab5f1607d,{}
docctl:2f3429aa7db3e934,DOCUMENT_CONTROL_FOR,source:Hackathon/5. Infrastructure_internal info/admin-access-logging-diagram.png,{}
docctl:234be1355f6d24f1,DOCUMENT_CONTROL_FOR,source:Hackathon/5. Infrastructure_internal info/Asset_Inventory_Regodit.xlsx,{}
docctl:c10257294f39d83f,DOCUMENT_CONTROL_FOR,source:Hackathon/5. Infrastructure_internal info/BCP_DR_Plan_Solsphere.docx,{}
docctl:01939c8051c4de5a,DOCUMENT_CONTROL_FOR,source:Hackathon/5. Infrastructure_internal info/network_architecture_diagrams.pdf,{}
docctl:3303605f796f6e5c,DOCUMENT_CONTROL_FOR,source:Hackathon/5. Infrastructure_internal info/network-segmentation-diagram.png,{}
docctl:e757a88a39ac1954,DOCUMENT_CONTROL_FOR,source:Hackathon/5. Infrastructure_internal info/Secure Development Lifecycle Document 01.docx,{}
action:547be09fa771b764,MAPS_TO,control:governance,{}
docctl:e757a88a39ac1954,REQUIRES,action:547be09fa771b764,{}
docctl:63198c7f7f83e1d5,DOCUMENT_CONTROL_FOR,source:Hackathon/5. Infrastructure_internal info/Solsphere W-9.pdf,{}
action:5d812d464f392f8e,MAPS_TO,control:governance,{}
docctl:63198c7f7f83e1d5,REQUIRES,action:5d812d464f392f8e,{}
evidence:90d1179debc1ae9baf342ebd,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:f4281ec5ddc49818f1d093a7,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:6722a3217dd03d85fd5bcf1b,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:bb90d087e4808c41554ea2ee,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
evidence:91f55d0f0cf603cf18fd776f,FROM_SOURCE,source:Hackathon/1. Sample_Vendor questionnaire/Regodit_Comprehensive_Vendor_Security_Questionnaire_Clean.xlsx,{}
